RunTime,RandomWalkLength,RandomWalkStart,Improvement
737,1,3,best
1122,1,2,best
891,1,4,best
1234,1,3,first
2129,1,2,first
3083,1,4,first
2045,1,5,best
4272,1,5,first
9480,2,4,best
6709,1,6,best
15791,2,3,best
15154,2,5,best
9108,3,6,best
163030,3,5,best
14042,1,6,first
15556,2,4,first
244535,3,4,best
400000,1,1,best
255564,4,4,best
10265,1,8,best
179255,2,3,first
92378,1,7,best
92427,2,6,best
400000,2,2,best
400000,3,2,best
400000,2,1,best
250317,4,5,best
320196,5,5,best
179511,3,6,first
249467,5,6,best
113158,2,5,first
400000,3,1,best
19507,1,8,first
259766,5,4,best
400000,4,4,first
180110,3,4,first
400000,4,2,best
105184,2,7,best
400000,6,4,best
400000,3,3,best
400000,5,3,best
180365,4,5,first
400000,3,5,first
400000,7,3,best
252240,4,6,best
165306,1,7,first
252416,5,5,first
255689,6,6,best
400000,2,1,first
249410,5,6,first
24183,1,9,best
400000,4,1,best
400000,7,4,best
26893,2,7,first
400000,4,3,best
185514,2,6,first
22408,3,8,best
175065,2,8,best
99283,1,10,best
400000,6,5,best
186126,4,8,best
168782,2,9,best
400000,6,3,best
400000,3,2,first
320209,2,2,first
323611,7,5,best
400000,5,4,first
251123,6,4,first
400000,1,1,first
103115,1,9,first
400000,11,4,best
400000,7,3,first
400000,9,5,best
324694,6,6,first
400000,10,4,best
400000,3,1,first
99617,2,8,first
325848,7,6,best
251558,3,7,best
400000,8,3,best
245153,5,8,best
400000,8,5,best
400000,8,4,best
400000,3,3,first
104189,3,8,first
400000,5,2,best
331597,4,6,first
400000,4,7,best
400000,4,1,first
400000,6,1,best
400000,5,1,best
91640,2,9,first
400000,6,2,best
400000,4,2,first
400000,10,5,best
400000,4,3,first
166984,3,9,best
400000,5,3,first
400000,9,4,best
257353,4,8,first
400000,9,2,best
400000,9,3,best
251901,1,10,first
251138,4,9,best
400000,8,2,best
181852,3,7,first
329786,7,8,best
400000,7,4,first
173019,1,11,best
400000,6,3,first
324196,11,6,best
95508,1,12,best
322777,7,6,first
400000,8,6,best
326007,5,8,first
322936,6,7,best
400000,12,4,best
253229,7,7,best
400000,10,3,best
330457,5,7,best
400000,11,4,first
400000,7,1,best
400000,9,5,first
400000,13,4,best
400000,7,5,first
326449,8,8,best
27730,2,11,best
400000,8,3,first
326574,12,6,best
400000,7,2,best
400000,8,5,first
329483,6,5,first
400000,9,6,best
400000,10,4,first
245159,3,10,best
400000,6,1,first
400000,5,1,first
400000,10,1,best
182718,7,8,first
107918,2,10,best
400000,6,2,first
322465,4,7,first
400000,8,1,best
91115,1,12,first
400000,11,6,first
400000,16,3,best
400000,10,5,first
172771,4,9,first
400000,13,3,best
400000,6,8,best
258868,9,8,best
400000,14,3,best
400000,11,3,best
175911,1,13,best
329980,3,9,first
400000,5,9,best
400000,10,6,best
400000,8,2,first
400000,8,4,first
400000,9,2,first
400000,9,3,first
400000,12,3,best
103939,1,11,first
400000,10,2,best
400000,8,6,first
252992,5,7,first
400000,11,5,best
109638,2,11,first
400000,8,7,best
400000,12,4,first
400000,10,3,first
400000,9,1,best
400000,14,5,best
400000,16,4,best
400000,13,6,best
400000,5,2,first
400000,7,2,first
256257,1,14,best
400000,15,3,best
250785,8,8,first
400000,15,5,best
400000,18,3,best
400000,13,3,first
400000,11,8,best
400000,10,8,best
400000,7,7,first
400000,16,6,best
326314,6,9,best
400000,12,6,first
400000,17,4,best
400000,9,4,first
400000,9,6,first
400000,13,4,first
400000,7,1,first
400000,13,5,best
324858,6,7,first
400000,13,1,best
324263,9,8,first
400000,12,1,best
322235,5,9,first
400000,11,2,best
400000,9,7,best
400000,12,2,best
321288,8,9,best
400000,15,4,best
178752,3,10,first
400000,11,5,first
167625,4,11,best
400000,11,3,first
178743,2,10,first
255685,3,11,best
323559,10,6,first
400000,14,3,first
400000,13,2,best
400000,19,4,best
400000,12,3,first
113641,2,12,best
400000,20,3,best
400000,15,6,best
400000,10,7,best
400000,7,9,best
400000,11,7,best
400000,17,5,best
400000,10,2,first
164276,1,14,first
400000,21,3,best
400000,20,4,best
251486,1,13,first
400000,15,5,first
330440,2,13,best
400000,14,2,best
400000,13,6,first
400000,14,1,best
400000,16,4,first
400000,18,4,best
400000,14,8,best
400000,16,2,best
328087,6,8,first
400000,11,1,best
173525,3,12,best
400000,10,1,first
400000,16,5,best
400000,15,3,first
400000,16,3,first
400000,13,8,best
321296,5,11,best
400000,19,3,best
400000,19,6,best
400000,8,1,first
400000,22,3,best
322524,11,8,first
400000,12,7,best
400000,15,7,best
255681,6,11,best
400000,12,1,first
400000,13,5,first
259471,1,15,best
400000,16,6,first
324167,16,8,best
400000,15,4,first
400000,15,8,best
400000,18,6,best
400000,18,3,first
400000,4,10,best
400000,8,9,first
400000,12,5,best
400000,8,7,first
330425,10,9,best
400000,14,7,best
400000,20,2,best
400000,9,1,first
400000,9,9,best
400000,9,7,first
400000,17,2,best
259104,2,12,first
400000,14,5,first
400000,24,3,best
400000,13,2,first
400000,11,2,first
400000,18,2,best
400000,13,1,first
328677,11,7,first
257191,2,14,best
400000,18,5,best
400000,19,2,best
400000,25,3,best
325477,7,9,first
326339,6,9,first
400000,21,4,best
400000,13,7,best
400000,22,4,best
400000,21,3,first
400000,10,8,first
400000,23,3,best
400000,17,4,first
106069,4,13,best
400000,23,4,best
400000,20,6,best
400000,20,3,first
321785,4,11,first
326465,2,16,best
400000,14,4,best
400000,14,2,first
178075,1,17,best
400000,14,6,best
320387,3,11,first
400000,24,4,best
400000,14,8,first
246904,3,14,best
400000,17,3,best
400000,16,1,best
400000,11,1,first
400000,17,8,best
400000,16,2,first
400000,13,8,first
102519,1,15,first
400000,12,2,first
400000,17,5,first
400000,16,5,first
325438,4,14,best
327387,1,16,best
400000,19,6,first
400000,27,3,best
400000,15,1,best
250184,4,10,first
400000,5,10,best
400000,19,5,best
400000,17,1,best
400000,14,1,first
116991,2,13,first
400000,21,6,best
400000,3,13,best
400000,19,4,first
327028,2,15,best
400000,19,8,best
400000,10,7,first
400000,15,6,first
400000,17,6,best
400000,12,7,first
254917,3,16,best
400000,12,9,best
320561,5,11,first
400000,24,5,best
329269,9,9,first
400000,20,4,first
400000,18,8,best
400000,18,6,first
400000,20,5,best
400000,21,5,best
400000,17,7,best
400000,18,1,best
400000,28,3,best
400000,30,3,best
400000,20,2,first
326348,12,8,best
400000,18,5,first
400000,18,4,first
400000,3,12,first
400000,21,4,first
400000,14,7,first
116382,5,14,best
400000,26,3,best
400000,12,5,first
328798,15,8,first
400000,19,3,first
400000,1,18,best
251663,4,12,best
329906,10,9,first
102096,4,14,first
400000,22,4,first
400000,22,3,first
400000,24,4,first
400000,28,4,best
400000,25,3,first
251355,2,17,best
400000,15,7,first
400000,23,4,first
250792,3,14,first
400000,14,4,first
400000,6,11,first
400000,21,2,best
400000,8,11,best
400000,15,2,best
258899,5,13,best
400000,14,6,first
400000,21,8,best
167535,5,16,best
329463,11,9,best
400000,18,2,first
400000,14,9,best
175242,1,17,first
400000,17,8,first
400000,23,5,best
400000,16,1,first
400000,16,8,first
400000,20,6,first
400000,20,7,best
320572,13,7,first
400000,26,4,best
400000,4,16,best
400000,16,9,best
400000,25,2,best
400000,20,1,best
400000,5,10,first
400000,22,8,best
400000,17,2,first
400000,27,4,best
400000,21,1,best
400000,16,7,best
167741,5,14,first
400000,3,15,best
400000,17,6,first
400000,1,16,first
400000,21,7,best
400000,24,3,first
321092,2,16,first
400000,27,2,best
400000,22,1,best
400000,2,14,first
400000,23,2,best
400000,18,7,best
327194,5,15,best
400000,30,4,best
400000,13,9,best
400000,19,8,first
323534,3,13,first
400000,25,6,best
400000,19,2,first
400000,24,2,best
400000,24,5,first
325483,7,13,best
400000,27,3,first
400000,19,5,first
328535,7,11,best
400000,26,2,best
400000,17,1,first
400000,6,10,best
400000,4,15,best
322833,5,12,best
400000,23,6,best
400000,20,8,best
400000,26,6,best
251215,1,19,best
326627,4,13,first
400000,23,3,first
400000,17,7,first
400000,31,3,best
331099,6,16,best
248383,5,16,first
330550,17,9,best
400000,22,6,best
251282,2,17,first
400000,30,3,first
323042,6,14,best
328736,9,11,best
400000,17,3,first
248448,4,12,first
400000,6,13,best
95089,9,14,best
400000,30,5,best
400000,26,5,best
