RunTime,RandomWalkLength,RandomWalkStart,Improvement
30,1,4,best
65,1,3,best
73,1,5,best
70,1,4,first
94,1,5,first
71,1,3,first
115,2,4,best
79,2,3,best
288,1,2,best
135,2,5,best
74,2,4,first
48,2,5,first
48,3,4,best
109,1,2,first
122,2,3,first
52,3,5,best
127,3,4,first
141,3,5,first
250,3,3,best
125,4,5,best
163,4,4,best
74,4,5,first
203,5,5,best
293,4,4,first
560,3,3,first
264,5,5,first
267,5,4,best
82,1,6,best
60,1,6,first
242,5,4,first
84,2,6,best
111,2,6,first
65,3,6,best
275,6,4,best
570,6,5,best
50,3,6,first
106,6,5,first
259,6,4,first
1696,2,2,best
201,4,6,best
163,7,5,best
135,4,6,first
206,7,5,first
416,7,4,best
194,5,6,best
105,5,6,first
349,8,5,best
1479,4,3,best
107,6,6,best
84,6,6,first
548,7,4,first
379,8,5,first
184,7,6,best
123,7,6,first
260,9,4,best
364,9,5,best
215,8,6,best
895,4,3,first
1026,8,4,best
99,8,6,first
284,9,5,first
232,9,6,best
149,11,5,best
823,10,5,best
769,9,4,first
188,9,6,first
511,11,5,first
448,10,6,best
1070,10,4,best
1306,10,5,first
2147,5,3,best
250,1,7,best
131,1,7,first
1544,10,6,first
2048,12,5,best
462,14,6,best
309,2,7,best
437,11,6,best
478,2,7,first
3634,8,4,first
962,12,5,first
1626,5,3,first
579,3,7,best
2560,10,4,first
6700,2,2,first
352,3,7,first
2165,14,6,first
1116,4,7,best
4899,11,4,best
3709,11,6,first
2533,13,5,best
7523,15,5,best
4150,16,5,best
1499,4,7,first
1266,13,5,first
2345,12,6,best
1191,5,7,best
3867,15,6,best
4630,11,4,first
3150,12,6,first
446,1,8,best
2524,5,7,first
6745,17,5,best
862,1,9,best
9478,13,4,best
6375,15,5,first
3748,15,6,first
2341,13,6,best
1759,1,8,first
5195,16,6,best
1704,1,9,first
4292,18,5,best
4458,7,7,best
4126,6,7,best
2113,7,7,first
5983,13,6,first
28246,12,4,best
89460,7,3,best
8951,14,5,best
2370,3,8,best
10462,17,5,first
4945,2,8,best
4094,2,9,best
1257,8,7,best
166912,1,1,best
11394,17,6,best
1348,2,8,first
3123,8,7,first
2183,2,9,first
6347,6,7,first
16823,19,6,best
5760,3,8,first
11978,9,7,best
322479,3,2,best
19086,19,5,best
16231,18,6,best
4322,3,9,best
11869,16,6,first
10386,14,5,first
18170,16,5,first
93910,17,4,best
18696,20,6,best
2529,1,10,best
9690,11,7,best
5636,4,8,best
400000,4,2,best
26480,13,4,first
13333,10,7,best
400000,2,1,best
4096,5,8,best
9680,17,6,first
20404,12,4,first
400000,5,2,best
323269,6,3,best
2085,1,10,first
4415,3,9,first
3462,20,6,first
15832,18,5,first
90373,20,5,best
87173,7,3,first
91350,9,3,best
1015,4,9,best
8384,6,8,best
3990,10,7,first
7717,14,7,best
4041,5,8,first
3819,2,10,best
4191,7,8,best
4194,4,8,first
7684,27,6,best
1819,6,8,first
13667,13,7,best
4170,5,9,best
2738,4,9,first
6397,15,7,best
11804,23,5,best
400000,6,2,best
3089,1,12,best
4218,7,9,best
8917,11,7,first
400000,7,2,best
89411,19,6,first
4215,2,10,first
6754,1,11,best
4176,8,8,best
2708,3,10,best
400000,8,2,best
4609,8,9,best
4120,4,10,best
246172,19,4,best
12455,16,7,best
17712,9,7,first
2947,1,13,best
5843,11,8,best
5086,2,11,best
2434,3,10,first
10628,7,8,first
4591,12,8,best
87782,25,6,best
17152,24,6,best
